Dados Cadastrais ,,,,,,,,,,,,, Múltiplos ,,, Proventos ,, Estrutura de Capital ,,,,, Liquidez das Cotas ,,
Nome , CNPJ , Código de Neg. , Participação no IFIX , Segmento de Listagem , Presença em Pregões , Valor de Mercado , Segmento de Atuação , Mandato , Taxa de Administração , Taxa de Performance , Regulamento do Fundo , Data de Início , P/VPA , VPA , Cotação , Provento por Cota , Dividend Yield , Patrimônio , Ativo Total , Passivo Total , Alavancagem , Data do Balanço Mais Recente , Volume Médio Diário (12 Meses) , Volume Médio Diário (Mês) , Análise 
Js Real Estate Multigestao FII ,13371132000171, JSRE11 ,1.25%, Tradicional ,100%," R$1,292,974 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=371241 ,07/06/2011,0.55, R$112.82 , R$62.26 , R$5.85 ,7.7%," R$2,342,974 "," R$2,510,255 "," R$167,281 ",6.66%,31/01/2023," R$2,683 "," 1,791 ", Liquidez Alta 
Vinci Shopping Centers Fundo D-Unica ,17554274000125, VISC11 ,1.84%, Tradicional ,100%," R$1,951,317 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=238030 ,10/03/2014,0.84, R$124.34 , R$104.96 , R$8.93 ,9.0%," R$2,311,554 "," R$2,994,281 "," R$682,727 ",22.80%,31/01/2023," R$2,432 "," 2,005 ", Liquidez Alta 
Maxi Renda FII-Unica ,97521225000125, MXRF11 ,2.19%, Tradicional ,100%," R$2,310,125 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=58882 ,10/05/2012,1.01, R$10.11 , R$10.22 , R$1.26 ,13.8%," R$2,286,074 "," R$2,394,732 "," R$108,657 ",4.54%,31/01/2023," R$6,205 "," 5,856 ", Liquidez Alta 
CSHG Renda Urbana - FII-Unica ,29641226000153, HGRU11 ,2.02%, Tradicional ,100%," R$2,116,927 ", Híbrido , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=124840 ,27/04/2018,0.94, R$122.78 , R$115.01 , R$11.43 ,10.2%," R$2,260,007 "," R$2,481,261 "," R$221,253 ",8.92%,31/01/2023," R$3,869 "," 3,251 ", Liquidez Alta 
Hedge Brasil Shopping FII-Unica1 ,8431747000106, HGBS11 ,1.70%, Tradicional ,100%," R$1,787,800 ", Shoppings , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=307931 ,21/11/2006,0.81, R$221.39 , R$178.78 , R$15.90 ,9.6%," R$2,213,924 "," R$2,236,735 "," R$22,811 ",1.02%,31/01/2023," R$1,701 "," 2,017 ", Liquidez Alta 
Xp Malls FI-Unica ,28757546000100, XPML11 ,1.92%, Tradicional ,100%," R$2,138,870 ", Shoppings , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=273275 ,22/12/2017,0.99, R$100.94 , R$100.35 , R$8.72 ,9.6%," R$2,151,430 "," R$2,921,001 "," R$769,571 ",26.35%,31/01/2023," R$3,507 "," 3,768 ", Liquidez Alta 
BTG Pactual Logistica Fundo de-Unica ,11839593000109, BTLG11 ,1.87%, Tradicional ,100%," R$1,986,397 ", Híbrido , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=361421 ,06/08/2010,0.96, R$98.65 , R$94.29 , R$9.62 ,9.4%," R$2,078,328 "," R$2,337,977 "," R$259,649 ",11.11%,31/01/2023," R$4,412 "," 3,775 ", Liquidez Alta 
FII BTG Pactual Fundo de Fundo-Unica ,11026627000138, BCFF11 ,1.51%, Tradicional ,100%," R$1,599,335 ", TVM , FII TVM Gestão Ativa ,0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=27460 ,07/01/2010,0.86, R$73.67 , R$63.50 , R$6.68 ,9.7%," R$1,855,472 "," R$1,878,707 "," R$23,235 ",1.24%,31/01/2023," R$2,506 "," 2,095 ", Liquidez Alta 
CSHG Real Estate FII-Unica ,9072017000129, HGRE11 ,1.23%, Tradicional ,100%," R$1,300,782 ", Lajes Corporativas , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=130966 ,08/11/2007,0.70, R$156.98 , R$110.07 , R$9.59 ,7.6%," R$1,855,205 "," R$1,946,980 "," R$91,774 ",4.71%,31/01/2023," R$2,155 "," 1,916 ", Liquidez Alta 
Hedge Top Fofii 3 FII-Unica ,18307582000119, HFOF11 ,1.42%, Tradicional ,100%," R$1,498,081 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=307929 ,27/02/2018,0.82, R$79.48 , R$65.10 , R$7.38 ,9.7%," R$1,829,006 "," R$1,844,504 "," R$15,498 ",0.84%,31/01/2023," R$1,385 "," 1,283 ", Liquidez Alta 
FII Tg Ativo Real ,25032881000153, TGAR11 ,1.53%, Tradicional ,100%," R$1,595,694 ", Híbrido , FII Hibrido Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=203482 ,09/12/2016,0.88, R$132.16 , R$115.76 , R$17.53 ,15.8%," R$1,821,734 "," R$1,848,961 "," R$27,227 ",1.47%,31/01/2023," R$3,640 "," 4,242 ", Liquidez Alta 
Kinea High Yield Cri Fundo de -Unica ,30130708000128, KNHY11 ,1.69%, Tradicional ,100%," R$1,788,065 ", TVM , FII Hibrido Gestão Ativa ,2%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=206164 ,03/07/2018,0.98, R$98.21 , R$96.70 , R$12.80 ,12.6%," R$1,816,005 "," R$1,843,073 "," R$27,068 ",1.47%,31/01/2023," R$2,619 "," 1,883 ", Liquidez Alta 
Bresco Logistica Fundo de Inve-Unica ,20748515000181, BRCO11 ,1.31%, Tradicional ,100%," R$1,369,254 ", Lajes Corporativas , FII Hibrido Gestão Ativa ,0%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=357532 ,05/08/2016,0.76, R$121.44 , R$92.65 , R$8.02 ,8.0%," R$1,794,751 "," R$1,831,707 "," R$36,956 ",2.02%,31/01/2023," R$2,879 "," 2,250 ", Liquidez Alta 
FII Vinci Logistica-Unica ,24853044000122, VILG11 ,1.21%, Tradicional ,100%," R$1,260,531 ", Logistica , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=73742 ,10/12/2018,0.75, R$112.05 , R$84.05 , R$8.31 ,8.4%," R$1,680,477 "," R$1,962,508 "," R$282,031 ",14.37%,31/01/2023," R$2,194 "," 2,666 ", Liquidez Alta 
BB Progressivo II FII ,14410722000129, BBPO11 ,1.24%, Tradicional ,100%," R$1,298,888 ", Híbrido , FII Renda Gestão Passiva ,0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=18415 ,23/08/2012,0.81, R$100.75 , R$81.59 , R$10.88 ,12.2%," R$1,603,972 "," R$1,624,617 "," R$20,645 ",1.27%,31/01/2023," R$1,425 "," 1,516 ", Liquidez Alta 
Maua Capital Recebiveis Imobil-Unica ,23648935000184, MCCI11 ,1.38%, Tradicional ,100%," R$1,456,696 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=60760 ,23/09/2016,0.93, R$92.00 , R$85.89 , R$12.80 ,12.8%," R$1,560,313 "," R$1,586,371 "," R$26,058 ",1.64%,31/01/2023," R$3,829 "," 4,495 ", Liquidez Alta 
CSHG Recebiveis Imobiliarios -Unica ,11160521000122, HGCR11 ,1.48%, Tradicional ,100%," R$1,569,563 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=370700 ,21/12/2009,1.01, R$100.64 , R$101.80 , R$14.10 ,13.6%," R$1,551,734 "," R$1,670,109 "," R$118,375 ",7.09%,31/01/2023," R$3,312 "," 3,509 ", Liquidez Alta 
Hsi Malls Fundo de Investiment-Unica ,32892018000131, HSML11 ,1.19%, Tradicional ,100%," R$1,258,188 ", Shoppings , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=334680 ,30/07/2019,0.83, R$96.40 , R$79.73 , R$7.97 ,10.5%," R$1,521,256 "," R$2,490,383 "," R$969,127 ",38.91%,31/01/2023," R$2,361 "," 1,998 ", Liquidez Alta 
Devant Recebiveis Imobiliarios-Unica ,37087810000137, DEVA11 ,1.16%, Tradicional ,100%," R$1,176,261 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=309216 ,25/08/2020,0.83, R$101.17 , R$83.75 , R$13.31 ,13.0%," R$1,420,870 "," R$1,422,352 "," R$1,482 ",0.10%,31/01/2023," R$3,592 "," 2,722 ", Liquidez Alta 
Fator Verita Fundo de Investim-Unica ,11664201000100, VRTA11 ,1.29%, Tradicional ,100%," R$1,344,223 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=96756 ,05/08/2010,0.95, R$90.81 , R$86.21 , R$12.76 ,12.1%," R$1,415,905 "," R$1,536,718 "," R$120,812 ",7.86%,31/01/2023," R$2,552 "," 2,020 ", Liquidez Alta 
Vectis Juros Real FII-Unica ,32400250000105, VCJR11 ,1.25%, Tradicional ,100%," R$1,309,550 ", TVM , FII TVM Gestão Ativa ,2%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=114783 ,09/10/2019,0.94, R$94.35 , R$88.94 , R$11.23 ,11.9%," R$1,389,190 "," R$1,492,293 "," R$103,103 ",6.91%,31/01/2023," R$1,441 "," 1,398 ", Liquidez Alta 
Vbi Logistico FI Imobiliario-Unica ,30629603000118, LVBI11 ,1.05%, Tradicional ,100%," R$1,092,619 ", Logistica , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=35326 ,09/11/2018,0.80, R$115.49 , R$92.79 , R$8.90 ,8.9%," R$1,359,913 "," R$1,614,562 "," R$254,649 ",15.77%,31/01/2023," R$2,164 "," 1,793 ", Liquidez Alta 
Hsi Logística FI Imobiliário ,32903621000171, HSLG11 ,0.93%, Tradicional ,100%," R$974,445 ", Logistica , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=130363 ,09/12/2019,0.73, R$104.88 , R$76.97 , R$8.15 ,9.2%," R$1,327,748 "," R$1,538,954 "," R$211,206 ",13.72%,31/01/2023, R$570 , 633 , Liquidez Alta 
FI Imobilia-Unica ,29467977000103, RBRR11 ,1.11%, Tradicional ,100%," R$1,145,667 ", TVM , FII TVM Gestão Ativa ,0%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=190373 ,02/05/2018,0.90, R$94.47 , R$85.25 , R$12.02 ,11.8%," R$1,269,608 "," R$1,395,079 "," R$125,471 ",8.99%,31/01/2023," R$4,201 "," 3,720 ", Liquidez Alta 
Trx Real Estate Fundo de Inves-Unica ,28548288000152, TRXF11 ,1.06%, Tradicional ,100%," R$1,234,887 ", Híbrido , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=374491 ,15/10/2019,0.99, R$104.28 , R$102.97 , R$10.65 ,10.6%," R$1,250,648 "," R$2,188,855 "," R$938,207 ",42.86%,31/01/2023," R$2,635 "," 2,986 ", Liquidez Alta 
FII Agencias Caixa ,15576907000170, RBVA11 ,1.00%, Tradicional ,100%," R$1,053,367 ", Agências , FII Hibrido Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=90795 ,24/09/2012,0.85, R$106.60 , R$90.90 , R$12.06 ,13.0%," R$1,235,325 "," R$1,483,386 "," R$248,061 ",16.72%,31/01/2023, R$824 , 951 , Liquidez Alta 
Kinea Securities Fundo de Inve-1 ,35864448000138, KNSC11 ,1.08%, Tradicional ,100%," R$1,135,080 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=125351 ,28/10/2020,0.97, R$88.06 , R$85.50 , R$10.93 ,11.6%," R$1,169,002 "," R$1,300,691 "," R$131,689 ",10.12%,31/01/2023," R$4,020 "," 2,917 ", Liquidez Alta 
Urca Prime Renda FII-Unica ,34508872000187, URPR11 ,1.08%, Tradicional ,100%," R$1,140,905 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=108094 ,10/12/2019,0.99, R$99.06 , R$97.72 , R$17.48 ,15.0%," R$1,156,551 "," R$1,175,807 "," R$19,256 ",1.64%,31/01/2023," R$3,985 "," 2,572 ", Liquidez Alta 
FII Green Towers-Unica ,23740527000158, GTWR11 ,0.85%, Tradicional ,100%," R$906,000 ", Lajes Corporativas , FII Renda Gestão Passiva ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=51862 ,11/07/2017,0.80, R$94.74 , R$75.50 , R$9.03 ,11.6%," R$1,136,833 "," R$1,146,923 "," R$10,091 ",0.88%,31/01/2023, R$749 , 641 , Liquidez Alta 
Malls Brasil Plural FII ,26499833000132, MALL11 ,0.86%, Tradicional ,100%," R$901,243 ", Shoppings , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=128343 ,14/12/2017,0.82, R$120.49 , R$98.77 , R$9.10 ,9.2%," R$1,099,470 "," R$1,313,776 "," R$214,305 ",16.31%,31/01/2023," R$1,532 "," 1,439 ", Liquidez Alta 
Rbr Alpha Multiestrategia Real-Rbrf11 ,27529279000151, RBRF11 ,0.87%, Tradicional ,100%," R$915,654 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=70351 ,04/09/2017,0.84, R$79.98 , R$66.93 , R$7.46 ,10.4%," R$1,094,140 "," R$1,113,433 "," R$19,292 ",1.73%,31/01/2023," R$2,394 "," 1,724 ", Liquidez Alta 
FII Riza Terrax-Classe Un ,36501128000186, RZTR11 ,0.87%, Tradicional ,100%," R$928,034 ", Híbrido , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=120589 ,02/10/2020,0.87, R$96.50 , R$84.00 , R$13.81 ,13.7%," R$1,066,114 "," R$1,168,252 "," R$102,138 ",8.74%,31/01/2023," R$3,421 "," 3,204 ", Liquidez Alta 
Valora Cri Indice de Preco FII-Unica ,34197811000146, VGIP11 ,0.94%, Tradicional ,100%," R$984,589 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=102323 ,03/01/2020,0.92, R$90.34 , R$83.53 , R$12.24 ,12.1%," R$1,064,809 "," R$1,137,241 "," R$72,432 ",6.37%,31/01/2023," R$3,028 "," 2,202 ", Liquidez Alta 
FII Vbi Cri-Unica ,28729197000113, CVBI11 ,0.94%, Tradicional ,100%," R$990,810 ", TVM , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=128399 ,02/04/2019,0.96, R$93.91 , R$89.99 , R$12.55 ,12.5%," R$1,033,955 "," R$1,048,686 "," R$14,730 ",1.40%,31/01/2023," R$2,956 "," 1,809 ", Liquidez Alta 
FII Vbi Prime Properties-Unica ,35652102000176, PVBI11 ,0.83%, Tradicional ,100%," R$869,922 ", Lajes Corporativas , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=109289 ,22/07/2020,0.84, R$102.84 , R$86.65 , R$6.86 ,7.8%," R$1,032,454 "," R$1,147,599 "," R$115,145 ",10.03%,31/01/2023," R$2,881 "," 2,563 ", Liquidez Alta 
Ggr Covepi Renda FII ,26614291000100, GGRC11 ,0.87%, Tradicional ,100%," R$862,217 ", Logistica , FII Hibrido Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=62780 ,28/04/2017,0.85, R$124.81 , R$106.00 , R$11.38 ,11.0%," R$1,015,193 "," R$1,169,516 "," R$154,322 ",13.20%,31/01/2023," R$1,309 "," 1,012 ", Liquidez Alta 
FII BTG Pactual Credito Imobil-Unica ,9552812000114, BTCI11 ,0.84%, Tradicional ,100%," R$882,753 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=384092 ,06/05/2008,0.88, R$10.07 , R$8.87 , R$1.34 ,13.7%," R$1,001,785 "," R$1,016,194 "," R$14,409 ",1.42%,31/01/2023," R$1,015 ", 991 , Liquidez Alta 
Valora Cri CDI FII-Unica ,29852732000191, VGIR11 ,0.95%, Tradicional ,100%," R$1,006,402 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=273765 ,27/07/2018,1.01, R$9.63 , R$9.75 , R$1.50 ,15.0%," R$994,290 "," R$1,009,830 "," R$15,540 ",1.54%,31/01/2023," R$3,172 "," 4,275 ", Liquidez Alta 
FII Rbr Properties - FII-Unica ,21408063000151, RBRP11 ,0.52%, Tradicional ,100%," R$550,377 ", Lajes Corporativas , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=162371 ,31/03/2015,0.58, R$78.13 , R$45.19 , R$4.71 ,7.1%," R$951,533 "," R$962,219 "," R$10,687 ",1.11%,31/01/2023," R$1,277 ", 717 , Liquidez Alta 
Vinci Offices FII-Unica ,12516185000170, VINO11 ,0.68%, Tradicional ,100%," R$725,227 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=69542 ,14/08/2013,0.80, R$54.80 , R$43.78 , R$4.02 ,8.4%," R$907,781 "," R$1,424,974 "," R$517,193 ",36.29%,31/01/2023," R$1,380 "," 1,275 ", Liquidez Alta 
Santander Renda de Alugueis Fu-Unica ,32903702000171, SARE11 ,0.52%, Tradicional ,100%," R$548,242 ", Híbrido , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=124024 ,20/12/2019,0.63, R$94.11 , R$59.37 , R$7.70 ,11.2%," R$869,065 "," R$900,508 "," R$31,443 ",3.49%,31/01/2023," R$1,244 "," 1,554 ", Liquidez Alta 
Habitat II - FII ,30578417000105, HABT11 ,0.68%, Tradicional ,100%," R$711,744 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=136311 ,29/07/2019,0.88, R$99.75 , R$87.58 , R$13.85 ,13.1%," R$810,671 "," R$821,185 "," R$10,513 ",1.28%,31/01/2023," R$1,939 "," 1,632 ", Liquidez Alta 
FII FII Rec Renda Imobiliaria-Unica ,32274163000159, RECT11 ,0.42%, Tradicional ,100%," R$435,804 ", Híbrido , FII Hibrido Gestão Ativa ,0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=113369 ,24/04/2019,0.55, R$93.42 , R$51.01 , R$6.06 ,8.9%," R$798,131 "," R$992,695 "," R$194,564 ",19.60%,31/01/2023, R$635 , 443 , Liquidez Alta 
Xp Cred Imob - FII-Unica ,28516301000191, XPCI11 ,0.66%, Tradicional ,100%," R$696,994 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=382583 ,12/09/2019,0.88, R$90.71 , R$80.10 , R$11.39 ,11.8%," R$789,309 "," R$798,397 "," R$9,088 ",1.14%,31/01/2023," R$2,844 "," 1,861 ", Liquidez Alta 
FI Imobiliario Rio BR ,3683056000186, RCRB11 ,0.40%, Tradicional ,100%," R$432,217 ", Lajes Corporativas , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=103192 ,09/06/2000,0.56, R$208.47 , R$117.11 , R$8.33 ,6.6%," R$769,415 "," R$876,425 "," R$107,010 ",12.21%,31/01/2023, R$598 , 439 , Liquidez Alta 
Xp Industrial FII ,28516325000140, XPIN11 ,0.48%, Tradicional ,100%," R$502,174 ", Outros , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=71208 ,04/07/2018,0.68, R$103.50 , R$70.23 , R$7.51 ,8.8%," R$740,048 "," R$899,235 "," R$159,187 ",17.70%,31/01/2023, R$490 , 433 , Liquidez Moderada 
Alianza Trust Renda Imobiliari-Unica ,28737771000185, ALZR11 ,0.78%, Tradicional ,100%," R$775,089 ", Híbrido , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=318555 ,27/12/2017,1.06, R$106.01 , R$111.96 , R$14.19 ,12.9%," R$733,924 "," R$928,213 "," R$194,289 ",20.93%,31/01/2023," R$1,225 ", 940 , Liquidez Alta 
Rbr Log FI-Unica ,35705463000133, RBRL11 ,0.47%, Tradicional ,100%," R$499,053 ", Híbrido , FII Desenv. para Renda Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=91461 ,02/01/2020,0.70, R$106.07 , R$74.63 , R$7.77 ,9.0%," R$709,285 "," R$770,781 "," R$61,496 ",7.98%,31/01/2023, R$519 , 382 , Liquidez Alta 
Valora Hedge Fund FII-Unica ,36771692000119, VGHF11 ,0.63%, Tradicional ,100%," R$662,563 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=237309 ,26/02/2021,1.00, R$9.12 , R$9.09 , R$1.35 ,13.5%," R$664,535 "," R$739,184 "," R$74,649 ",10.10%,31/01/2023," R$3,128 "," 2,092 ", Liquidez Alta 
