Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
BBSeguridade , ON , BBSE3 ," R$69,645,818 ",1.3%,1.2%, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,11.50,8.7%,-,9.20,-,34.88, R$2.91 , R$3.03 ,8.3%,96%," R$7,596,101 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$3,275,011 ",-,N/D,83%,,38%,0.56,31/12/2022," R$1,048,857 "," 98,282 ", Liquidez Alta 
Telef Brasil , ON , VIVT3 ," R$64,396,281 ",0.9%,0.8%, Dividendos , Tradicional , Comunicações , Telecomunicações , Telecomunicações ,15.80,6.3%,4.20,0.90,1.30,38.71, R$3.01 , R$2.44 ,7.8%,123%," R$68,403,740 "," R$19,301,796 "," R$2,273,834 "," R$17,027,962 ",0.28,0.88, Baixo Endividamento ," R$12,056,585 "," R$14,023,669 "," R$14,487,551 "," R$17,818,960 "," R$18,134,468 "," R$19,257,784 ",10%," R$18,941,925 ",74%,111%,6%,4%,3%,0.31,31/12/2022," R$481,108 "," 46,023 ", Liquidez Alta 
B3 , ON , B3SA3 ," R$63,398,389 ",3.4%,3.1%, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,15.40,6.5%,9.10,3.10,6.50,10.96, R$0.52 , R$0.71 ,4.7%,73%," R$20,271,137 "," R$12,111,175 "," R$2,613,794 "," R$9,497,381 ",0.60,-0.42, Baixo Endividamento ," R$2,409,283 "," R$1,192,907 "," R$2,199,762 "," R$3,345,196 "," R$4,262,391 "," R$6,634,178 ",22%," R$9,887,484 ",2%,21%,19%,15%,9%,1.41,31/12/2022," R$2,651,362 "," 244,298 ", Liquidez Alta 
Suzano S.A. , ON , SUZB3 ," R$62,560,839 ",1.9%,1.8%, Crescimento , Novo Mercado , Materiais básicos , Madeira e papel , Papel e celulose ,2.70,36.6%,4.10,1.90,1.30,47.78, R$2.39 , R$17.50 ,5.0%,14%," R$33,061,032 "," R$74,574,591 "," R$9,505,951 "," R$65,068,640 ",2.26,1.94, Dívida Moderada ," R$4,489,461 "," R$2,720,611 "," R$4,660,683 "," R$6,568,982 "," R$10,681,570 "," R$29,649,558 ",46%," R$21,640,620 ",77%,226%,154%,14%,18%,0.35,31/12/2022," R$1,551,342 "," 126,807 ", Liquidez Alta 
Rede D Or , ON , RDOR3 ," R$53,863,173 ",1.5%,1.3%, Crescimento e Dividendos , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,33.60,3.0%,13.30,3.40,2.10,23.60, R$0.41 , R$0.70 ,1.7%,58%," R$13,628,540 "," R$29,251,806 "," R$287,083 "," R$28,964,723 ",2.15,2.95, Dívida Moderada , - , - , - ," R$2,670,251 "," R$3,484,649 "," R$5,348,425 ",-," R$1,022,415 ",44%,32%,10%,7%,3%,-,30/09/2022," R$953,412 "," 102,883 ", Liquidez Alta 
Localiza , ON , RENT3 ," R$52,422,541 ",2.2%,2.1%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,23.40,4.3%,13.80,2.60,3.00,53.34, R$1.32 , R$2.28 ,2.5%,58%," R$20,329,711 "," R$29,214,592 "," R$1,906,692 "," R$27,307,900 ",1.44,4.22, Baixo Endividamento ," R$934,869 "," R$1,015,662 "," R$1,240,200 "," R$1,590,142 "," R$2,212,756 "," R$5,472,029 ",42%,"-R$4,211,046 ",-6%,17%,25%,6%,3%,1.18,30/09/2022," R$2,218,148 "," 143,460 ", Liquidez Alta 
Gerdau , ON , GGBR3 ," R$45,147,672 ",-,-, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,3.60,27.4%,2.50,0.90,0.50,24.58, R$3.63 , R$6.75 ,14.8%,54%," R$46,116,194 "," R$12,607,390 "," R$2,475,863 "," R$10,131,527 ",0.27,0.35, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$20,618,152 ",-302%," R$11,150,338 ",40%,156%,27%,20%,16%,0.86,31/12/2022," R$6,702 "," 1,325 ", Liquidez Moderada 
Gerdau , PN , GGBR4 ," R$45,147,672 ",1.8%,1.6%, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,4.20,23.7%,2.50,1.00,0.60,28.48, R$3.63 , R$6.75 ,12.8%,54%," R$46,116,194 "," R$12,607,390 "," R$2,475,863 "," R$10,131,527 ",0.27,0.35, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$20,618,152 ",-302%," R$11,150,338 ",40%,156%,27%,20%,16%,0.91,31/12/2022," R$1,810,745 "," 145,665 ", Liquidez Alta 
JBS , ON , JBSS3 ," R$44,406,690 ",1.2%,1.1%, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,2.30,42.8%,3.00,1.00,0.10,20.02, R$2.00 , R$8.56 ,10.0%,23%," R$44,282,089 "," R$94,927,744 "," R$16,665,128 "," R$78,262,616 ",2.14,1.89, Dívida Moderada ," R$12,872,127 "," R$11,248,284 "," R$11,218,751 "," R$11,988,839 "," R$19,795,941 "," R$41,178,917 ",26%," R$17,800,712 ",78%,143%,41%,15%,10%,0.26,30/09/2022," R$1,107,962 "," 128,301 ", Liquidez Alta 
RaiaDrogasil , ON , RADL3 ," R$38,244,218 ",1.5%,1.4%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,43.40,2.3%,12.70,7.60,1.40,23.21, R$0.25 , R$0.53 ,1.1%,48%," R$5,052,794 "," R$2,265,017 "," R$371,172 "," R$1,893,845 ",0.45,0.60, Baixo Endividamento ," R$728,561 "," R$979,972 "," R$1,130,686 "," R$1,137,269 "," R$2,162,219 "," R$3,153,445 ",34%," R$1,583,400 ",68%,73%,19%,11%,6%,0.67,30/09/2022," R$648,296 "," 97,472 ", Liquidez Alta 
Sabesp , ON , SBSP3 ," R$35,228,089 ",1.0%,0.9%, Crescimento , Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,11.60,8.6%,7.40,1.30,1.70,51.54, R$0.94 , R$4.46 ,1.8%,21%," R$27,355,286 "," R$18,778,451 "," R$1,788,758 "," R$16,989,693 ",0.69,2.25, Baixo Endividamento ," R$4,118,023 "," R$4,576,233 "," R$5,263,565 "," R$6,569,196 "," R$7,491,717 "," R$6,829,096 ",11%," R$3,235,072 ",117%,158%,12%,6%,5%,0.86,30/09/2022," R$757,138 "," 56,059 ", Liquidez Alta 
CPFL Energia , ON , CPFE3 ," R$34,233,479 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,6.80,14.8%,4.90,2.20,0.90,29.71, R$3.24 , R$4.39 ,10.9%,74%," R$15,423,708 "," R$23,522,145 "," R$4,028,055 "," R$19,494,090 ",1.53,1.75, Dívida Moderada ," R$3,748,876 "," R$4,125,186 "," R$4,863,276 "," R$5,636,728 "," R$6,393,593 "," R$11,001,576 ",24%," R$8,398,268 ",54%,234%,34%,12%,8%,0.58,30/09/2022," R$421,126 "," 49,932 ", Liquidez Alta 
Rumo S.A. , ON , RAIL3 ," R$33,453,953 ",1.2%,1.1%, Crescimento , Novo Mercado , Bens industriais , Transporte , Transporte ferroviário ,65.00,1.5%,8.60,2.20,3.40,18.06, R$0.02 , R$0.28 ,0.1%,7%," R$15,191,169 "," R$16,758,088 "," R$7,385,421 "," R$9,372,667 ",1.10,1.87, Baixo Endividamento ," R$1,037,679 "," R$1,579,047 "," R$2,757,026 "," R$3,242,049 "," R$3,829,428 "," R$5,003,117 ",37%," R$4,830,993 ",31%,77%,3%,6%,1%,0.77,31/12/2022," R$990,967 "," 105,098 ", Liquidez Alta 
Engie Brasil , ON , EGIE3 ," R$32,286,261 ",0.6%,0.5%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,12.10,8.2%,7.00,3.80,2.70,39.57, R$2.21 , R$3.26 ,5.6%,68%," R$8,436,522 "," R$17,357,059 "," R$2,235,887 "," R$15,121,172 ",2.06,2.23, Dívida Moderada ," R$3,104,255 "," R$3,051,863 "," R$3,499,157 "," R$4,327,283 "," R$5,158,241 "," R$6,790,384 ",17%," R$3,337,493 ",74%,248%,34%,12%,7%,0.42,31/12/2022," R$408,452 "," 45,660 ", Liquidez Alta 
Raizen , PN , RAIZ4 ," R$30,026,035 ",0.2%,0.2%, Crescimento e Dividendos , Nível 2 , Consumo não cíclico , Agropecuária , Agricultura ,312.00,0.3%,5.30,1.40,0.10,2.91, R$0.15 , R$0.01 ,5.1%,1591%," R$21,196,361 "," R$44,119,316 "," R$4,902,799 "," R$39,216,517 ",2.08,2.97, Dívida Moderada , - , - , - , - , - ," R$13,218,687 ",-," R$9,633,727 ",109%,108%,1%,3%,0%,-,31/12/2022," R$426,826 "," 115,338 ", Liquidez Alta 
Tim , ON , TIMS3 ," R$29,264,508 ",0.5%,0.5%, Dividendos , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,17.50,5.7%,3.00,1.20,1.40,12.09, R$0.58 , R$0.69 ,4.8%,84%," R$25,397,365 "," R$4,969,825 "," R$2,548,713 "," R$2,421,112 ",0.20,0.02, Baixo Endividamento ," R$6,606,188 "," R$5,209,368 "," R$5,947,023 "," R$6,371,844 "," R$9,643,838 "," R$9,987,091 ",9%," R$9,429,075 ",117%,161%,,5%,3%,0.57,31/12/2022," R$356,763 "," 65,953 ", Liquidez Alta 
Cosan , ON , CSAN3 ," R$28,186,235 ",0.9%,0.9%, Crescimento e Dividendos , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,24.00,4.2%,9.10,1.40,0.70,15.10, R$0.43 , R$0.63 ,2.8%,68%," R$20,653,167 "," R$56,519,374 "," R$13,301,716 "," R$43,217,658 ",2.74,3.97, Dívida Alta ," R$2,591,228 "," R$3,408,745 "," R$3,463,336 "," R$3,322,778 "," R$4,170,157 "," R$10,874,887 ",33%," R$9,972,232 ",80%,263%,10%,5%,2%,1.13,31/12/2022," R$848,424 "," 107,216 ", Liquidez Alta 
Equatorial , ON , EQTL3 ," R$28,040,644 ",1.5%,1.4%, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,11.50,8.7%,7.40,1.70,1.00,25.49, R$0.64 , R$2.21 ,2.5%,29%," R$16,283,130 "," R$31,132,065 "," R$2,885,828 "," R$28,246,237 ",1.91,3.26, Dívida Alta ," R$1,132,285 "," R$1,528,872 "," R$1,796,987 "," R$2,534,552 "," R$4,944,515 "," R$7,164,211 ",45%," R$3,017,865 ",88%,170%,20%,7%,4%,0.87,30/09/2022," R$1,198,575 "," 119,214 ", Liquidez Alta 
Csn Mineracao , ON , CMIN3 ," R$27,371,841 ",0.3%,0.3%, Crescimento e Dividendos , Nível 2 , Materiais básicos , Mineração , Minerais metálicos ,9.90,10.1%,5.20,2.10,2.30,4.99, R$0.92 , R$0.51 ,18.5%,182%," R$13,168,142 "," R$8,184,503 "," R$9,583,962 ","-R$1,399,459 ",0.62,-0.31, Empresa com Mais Caixa que Dívida , - , - ," R$1,935,036 "," R$2,500,459 "," R$5,801,738 "," R$4,932,968 ",-,"-R$730,630 ",-186%,142%,20%,20%,11%,-,30/09/2022," R$198,515 "," 49,355 ", Liquidez Alta 
Carrefour BR , ON , CRFB3 ," R$27,284,539 ",0.4%,0.3%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,15.40,6.5%,5.50,1.30,0.30,12.97, R$0.35 , R$0.84 ,2.7%,41%," R$20,270,000 "," R$19,071,000 "," R$10,835,000 "," R$8,236,000 ",0.94,1.20, Baixo Endividamento ," R$2,819,000 "," R$3,244,000 "," R$3,785,000 "," R$3,891,000 "," R$3,852,000 "," R$6,657,000 ",19%," R$6,973,000 ",107%,432%,11%,7%,2%,0.93,31/12/2022," R$634,424 "," 81,790 ", Liquidez Alta 
Hypera , ON , HYPE3 ," R$26,792,453 ",0.9%,0.8%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,15.80,6.3%,12.70,2.50,3.60,42.40, R$1.23 , R$2.68 ,2.9%,46%," R$10,645,760 "," R$9,607,559 "," R$2,862,473 "," R$6,745,086 ",0.90,2.54, Baixo Endividamento ," R$990,838 "," R$1,141,145 "," R$1,236,908 "," R$1,318,705 "," R$1,206,047 "," R$2,651,852 ",22%," R$2,038,793 ",92%,1115%,17%,9%,7%,0.88,31/12/2022," R$942,030 "," 103,881 ", Liquidez Alta 
Cemig , ON , CMIG3 ," R$26,439,325 ",-,-, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,9.10,10.9%,5.00,1.60,1.00,15.15, R$1.36 , R$1.66 ,9.0%,82%," R$21,073,852 "," R$11,368,952 "," R$1,990,712 "," R$9,378,240 ",0.54,1.00, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$6,575,593 ",6%," R$6,194,138 ",13%,67%,18%,9%,7%,0.81,30/09/2022," R$15,310 "," 4,062 ", Liquidez Alta 
Cemig , PN , CMIG4 ," R$26,439,325 ",0.8%,0.7%, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,6.30,15.9%,5.00,1.10,0.70,10.44, R$1.36 , R$1.66 ,13.0%,82%," R$21,073,852 "," R$11,368,952 "," R$1,990,712 "," R$9,378,240 ",0.54,1.00, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$6,575,593 ",6%," R$6,194,138 ",13%,67%,18%,9%,7%,0.99,30/09/2022," R$452,682 "," 60,994 ", Liquidez Alta 
Caixa Seguri , ON , CXSE3 ," R$25,650,000 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,8.70,11.5%,7.40,2.40,-,8.55, R$0.65 , R$0.98 ,7.6%,66%," R$10,889,112 ", R$-   , R$716 ,-R$716 ,0.00,-0.28, Empresa com Mais Caixa que Dívida , - ," R$1,209,440 ", - , - , - ," R$3,324,160 ",-," R$2,416,314 ",-4%,-3106%,28%,22%,25%,-,31/12/2022," R$93,650 "," 33,650 ", Liquidez Alta 
Assai , ON , ASAI3 ," R$23,812,762 ",0.9%,0.8%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,-,-,-,-,-,17.65, R$0.16 , R$0.91 ,0.9%,18%," R$3,896,000 "," R$12,591,000 "," R$5,842,000 "," R$6,749,000 ",3.23,1.76, Dívida Moderada , - , - ," R$1,113,000 "," R$2,014,000 "," R$2,212,000 "," R$3,840,000 ",-," R$5,144,000 ",74%,383%,44%,10%,3%,-,31/12/2022," R$1,049,618 "," 112,631 ", Liquidez Alta 
Sid Nacional , ON , CSNA3 ," R$23,259,688 ",0.6%,0.5%, Crescimento e Dividendos , Tradicional , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,9.70,10.4%,4.00,1.10,0.50,17.54, R$2.39 , R$1.82 ,13.6%,132%," R$21,112,515 "," R$37,179,311 "," R$14,319,373 "," R$22,859,938 ",1.76,1.83, Dívida Moderada ," R$6,354,465 "," R$3,267,973 "," R$4,437,300 "," R$8,219,581 "," R$5,061,248 "," R$11,707,178 ",13%," R$3,469,271 ",284%,368%,13%,12%,4%,1.38,30/09/2022," R$830,471 "," 77,668 ", Liquidez Alta 
