, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
22.00, Btgp Banco , ON , BPAC3 ," R$137,290,611 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,21.30,4.7%,-,4.10,-,14.76, R$0.18 , R$0.69 ,1.2%,25%," R$41,358,738 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$4,370,741 ",-,N/D,21%,,2%,1.66,30/06/2022, R$269 , 138 , Liquidez Baixa 
23.00, Btgp Banco , UNT , BPAC11 ," R$137,290,611 ",1.5%,1.5%, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,13.10,7.6%,-,2.50,-,27.31, R$0.18 , R$0.69 ,1.9%,25%," R$41,358,738 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$4,370,741 ",-,N/D,21%,,2%,1.73,30/06/2022," R$974,201 "," 89,115 ", Liquidez Alta 
24.00, Brasil , ON , BBAS3 ," R$118,482,977 ",2.6%,2.5%, Crescimento , Novo Mercado , Financeiro , Intermediários financeiros , Bancos ,4.90,20.5%,-,0.80,-,41.52, R$3.58 , R$8.50 ,8.6%,42%," R$152,675,285 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$96,533,414 ",-,N/D,18%,,1%,1.18,30/06/2022," R$2,351,763 "," 166,740 ", Liquidez Alta 
25.00, Santander BR , ON , SANB3 ," R$115,297,162 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,6.90,14.5%,-,1.40,-,14.74, R$1.23 , R$2.14 ,8.4%,58%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,1.12,30/06/2022," R$17,425 "," 8,840 ", Liquidez Alta 
26.00, Santander BR , PN , SANB4 ," R$115,297,162 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.60,13.2%,-,1.50,-,16.27, R$1.36 , R$2.14 ,8.3%,63%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,0.96,30/06/2022," R$20,193 "," 8,964 ", Liquidez Alta 
27.00, Santander BR , UNT , SANB11 ," R$115,297,162 ",0.5%,0.5%, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.20,13.9%,-,1.40,-,30.84, R$1.29 , R$2.14 ,8.4%,60%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,1.07,30/06/2022," R$268,211 "," 38,768 ", Liquidez Alta 
28.00, Eletrobras , ON , ELET3 ," R$108,979,155 ",3.1%,4.2%," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,13.40,7.5%,8.10,1.00,2.00,47.02, R$0.74 , R$3.51 ,1.6%,21%," R$106,712,385 "," R$36,079,423 "," R$5,298,070 "," R$30,781,353 ",0.34,1.13, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,730,490 ",-208%," R$9,384,601 ",331%,927%,8%,4%,2%,0.86,30/06/2022," R$2,161,749 "," 143,988 ", Liquidez Alta 
29.00, Eletrobras , PNB , ELET6 ," R$108,979,155 ",0.6%,0.6%," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,14.20,7.0%,8.10,1.00,2.10,49.79, R$1.54 , R$3.51 ,3.1%,44%," R$106,712,385 "," R$36,079,423 "," R$5,298,070 "," R$30,781,353 ",0.34,1.13, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,730,490 ",-208%," R$9,384,601 ",331%,927%,8%,4%,2%,0.78,30/06/2022," R$645,187 "," 70,033 ", Liquidez Alta 
30.00, Itausa , ON , ITSA3 ," R$91,115,985 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.90,14.5%,6.80,1.40,10.50,10.41, R$0.55 , R$1.50 ,5.2%,36%," R$67,498,000 "," R$10,154,000 "," R$3,165,000 "," R$6,989,000 ",0.15,0.35, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$14,578,000 ",8%," R$483,000 ",408%,254%,22%,11%,16%,0.73,30/06/2022," R$6,262 "," 1,306 ", Liquidez Moderada 
31.00, Itausa , PN , ITSA4 ," R$91,115,985 ",2.2%,2.1%," Alerta, Baixo Crescimento ", Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.80,14.6%,6.80,1.30,10.40,10.29, R$0.55 , R$1.50 ,5.3%,36%," R$67,498,000 "," R$10,154,000 "," R$3,165,000 "," R$6,989,000 ",0.15,0.35, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$14,578,000 ",8%," R$483,000 ",408%,254%,22%,11%,16%,0.95,30/06/2022," R$885,133 "," 103,228 ", Liquidez Alta 
32.00, B3 , ON , B3SA3 ," R$82,753,905 ",3.9%,3.7%, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,19.00,5.3%,11.80,4.00,9.00,14.00, R$0.59 , R$0.74 ,4.3%,81%," R$20,653,221 "," R$12,697,474 "," R$2,371,543 "," R$10,325,931 ",0.61,-0.36, Baixo Endividamento ," R$2,409,283 "," R$1,192,907 "," R$2,199,762 "," R$3,345,196 "," R$4,262,391 "," R$6,814,938 ",23%," R$7,708,662 ",28%,204%,20%,15%,9%,0.95,30/06/2022," R$3,049,394 "," 241,760 ", Liquidez Alta 
33.00, Suzano S.A. , ON , SUZB3 ," R$66,392,784 ",1.7%,1.6%, Crescimento , Novo Mercado , Materiais básicos , Madeira e papel , Papel e celulose ,5.70,17.7%,5.00,2.80,1.50,49.66, R$1.33 , R$8.77 ,2.7%,15%," R$24,062,007 "," R$75,205,937 "," R$7,712,081 "," R$67,493,856 ",3.13,2.25, Dívida Moderada ," R$4,489,461 "," R$2,720,611 "," R$4,660,683 "," R$6,568,982 "," R$10,681,570 "," R$24,516,458 ",40%," R$19,688,321 ",56%,154%,81%,12%,10%,0.29,30/06/2022," R$867,873 "," 74,551 ", Liquidez Alta 
34.00, Localiza , ON , RENT3 ," R$66,093,561 ",2.8%,2.7%, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,24.30,4.1%,17.20,6.10,4.60,67.58, R$1.08 , R$2.78 ,1.6%,39%," R$8,381,748 "," R$15,717,005 "," R$767,274 "," R$14,949,731 ",1.88,2.10, Dívida Moderada ," R$934,869 "," R$1,015,662 "," R$1,240,200 "," R$1,590,142 "," R$2,212,756 "," R$4,378,276 ",36%,"-R$3,283,994 ",-5%,25%,30%,12%,7%,1.42,30/06/2022," R$1,511,269 "," 96,851 ", Liquidez Alta 
35.00, Telef Brasil , ON , VIVT3 ," R$65,790,279 ",0.8%,0.8%, Dividendos , Tradicional , Comunicações , Telecomunicações , Telecomunicações ,12.10,8.3%,4.20,1.00,1.40,39.38, R$3.40 , R$3.26 ,8.6%,104%," R$68,030,041 "," R$16,382,604 "," R$3,131,411 "," R$13,251,193 ",0.24,0.70, Baixo Endividamento ," R$12,056,585 "," R$14,023,669 "," R$14,487,551 "," R$17,818,960 "," R$18,134,468 "," R$18,959,016 ",9%," R$18,568,233 ",70%,105%,8%,5%,5%,0.08,30/06/2022," R$395,621 "," 44,061 ", Liquidez Alta 
36.00, Rede D Or , ON , RDOR3 ," R$58,174,752 ",1.3%,1.2%, Crescimento e Dividendos , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,43.30,2.3%,14.70,4.30,2.70,29.47, R$0.42 , R$0.68 ,1.4%,62%," R$13,542,853 "," R$29,689,025 "," R$225,512 "," R$29,463,513 ",2.19,3.06, Dívida Alta , - , - , - ," R$2,670,251 "," R$3,484,649 "," R$5,096,684 ",-," R$818,318 ",206%,122%,9%,7%,3%,-,30/06/2022," R$686,332 "," 76,803 ", Liquidez Alta 
37.00, BBSeguridade , ON , BBSE3 ," R$57,525,689 ",0.9%,0.8%, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,12.00,8.3%,-,7.40,-,28.81, R$1.96 , R$2.40 ,6.8%,82%," R$7,770,271 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$2,814,994 ",-,N/D,69%,,35%,0.65,30/06/2022," R$865,916 "," 98,596 ", Liquidez Alta 
38.00, JBS , ON , JBSS3 ," R$56,428,880 ",1.3%,1.3%, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,2.60,38.6%,3.10,1.30,0.20,25.44, R$2.00 , R$9.81 ,7.9%,20%," R$42,915,885 "," R$97,415,531 "," R$19,330,433 "," R$78,085,098 ",2.27,1.72, Dívida Moderada ," R$12,872,127 "," R$11,248,284 "," R$11,218,751 "," R$11,988,839 "," R$19,795,941 "," R$44,941,685 ",28%," R$20,455,178 ",91%,194%,53%,17%,12%,0.31,30/06/2022," R$782,645 "," 90,675 ", Liquidez Alta 
39.00, Hapvida , ON , HAPV3 ," R$53,958,368 ",1.5%,1.4%," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-154.70,-0.6%,43.80,1.10,2.40,7.59, R$0.01 ,-R$0.05 ,0.1%,-11%," R$48,905,416 "," R$11,501,228 "," R$593,358 "," R$10,907,870 ",0.24,5.26, Baixo Endividamento ," R$348,339 "," R$490,571 "," R$824,440 "," R$912,973 "," R$1,233,320 "," R$1,401,771 ",32%," R$704,469 ",109%,57%,-2%,0%,0%,1.01,30/06/2022," R$1,387,235 "," 170,422 ", Liquidez Alta 
40.00, Raizen , PN , RAIZ4 ," R$42,693,789 ",0.2%,0.2%, Crescimento , Nível 2 , Consumo não cíclico , Agropecuária , Agricultura ,14.60,6.9%,5.30,1.90,0.20,4.14, R$0.08 , R$0.28 ,2.0%,29%," R$22,305,502 "," R$40,442,938 "," R$5,733,097 "," R$34,709,841 ",1.81,2.36, Dívida Moderada , - , - , - , - , - ," R$14,709,458 ",-," R$8,167,628 ",161%,155%,29%,6%,3%,-,30/06/2022," R$195,348 "," 69,603 ", Liquidez Alta 
41.00, Gerdau , ON , GGBR3 ," R$41,768,705 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.30,44.3%,1.80,0.80,0.40,21.61, R$3.10 , R$9.57 ,14.4%,32%," R$47,333,225 "," R$12,444,766 "," R$5,776,753 "," R$6,668,013 ",0.26,0.18, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,445,855 ",-311%," R$16,575,496 ",21%,128%,45%,26%,21%,1.18,30/06/2022," R$3,433 ", 734 , Liquidez Moderada 
42.00, Gerdau , PN , GGBR4 ," R$41,768,705 ",1.3%,1.3%," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.70,36.5%,1.80,0.90,0.50,26.21, R$3.10 , R$9.57 ,11.8%,32%," R$47,333,225 "," R$12,444,766 "," R$5,776,753 "," R$6,668,013 ",0.26,0.18, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,445,855 ",-311%," R$16,575,496 ",21%,128%,45%,26%,21%,1.27,30/06/2022," R$795,878 "," 84,855 ", Liquidez Alta 
43.00, CPFL Energia , ON , CPFE3 ," R$39,626,030 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,7.80,12.7%,5.70,2.80,1.00,34.39, R$3.94 , R$4.38 ,11.5%,90%," R$14,006,786 "," R$24,408,930 "," R$3,611,251 "," R$20,797,679 ",1.74,1.91, Dívida Moderada ," R$3,748,876 "," R$4,125,186 "," R$4,863,276 "," R$5,636,728 "," R$6,393,593 "," R$10,630,784 ",23%," R$6,434,192 ",65%,227%,34%,11%,8%,0.68,30/06/2022," R$244,465 "," 34,187 ", Liquidez Alta 
44.00, Carrefour BR , ON , CRFB3 ," R$39,495,222 ",0.5%,0.4%, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,14.20,7.0%,8.70,2.00,0.40,18.78, R$0.71 , R$1.32 ,3.8%,54%," R$19,936,000 "," R$17,790,000 "," R$3,657,000 "," R$14,133,000 ",0.89,2.20, Baixo Endividamento ," R$2,819,000 "," R$3,244,000 "," R$3,785,000 "," R$3,891,000 "," R$3,852,000 "," R$6,293,000 ",17%," R$6,047,000 ",113%,506%,16%,7%,4%,0.43,30/06/2022," R$428,185 "," 61,546 ", Liquidez Alta 
45.00, Sabesp , ON , SBSP3 ," R$38,549,957 ",0.9%,0.9%," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,15.80,6.3%,8.30,1.50,1.90,56.40, R$0.94 , R$3.56 ,1.7%,27%," R$26,274,226 "," R$17,726,604 "," R$643,569 "," R$17,083,035 ",0.67,2.33, Baixo Endividamento ," R$4,118,023 "," R$4,576,233 "," R$5,263,565 "," R$6,569,196 "," R$7,491,717 "," R$6,487,693 ",10%," R$3,704,594 ",102%,161%,10%,6%,5%,0.97,30/06/2022," R$1,542,989 "," 88,586 ", Liquidez Alta 
46.00, RaiaDrogasil , ON , RADL3 ," R$38,326,605 ",1.3%,1.2%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,46.70,2.1%,13.40,7.60,1.50,23.26, R$0.37 , R$0.50 ,1.6%,73%," R$5,014,184 "," R$2,369,579 "," R$818,806 "," R$1,550,773 ",0.47,0.52, Baixo Endividamento ," R$728,561 "," R$979,972 "," R$1,130,686 "," R$1,137,269 "," R$2,162,219 "," R$2,973,393 ",32%," R$1,798,275 ",52%,65%,18%,10%,5%,0.49,30/06/2022," R$478,018 "," 77,628 ", Liquidez Alta 
47.00, Rumo S.A. , ON , RAIL3 ," R$37,854,184 ",1.1%,1.1%," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Transporte , Transporte ferroviário ,-103.30,-1.0%,13.80,2.60,4.60,20.44, R$0.02 ,-R$0.20 ,0.1%,-10%," R$14,745,863 "," R$16,794,815 "," R$6,234,779 "," R$10,560,036 ",1.14,3.00, Baixo Endividamento ," R$1,037,679 "," R$1,579,047 "," R$2,757,026 "," R$3,242,049 "," R$3,829,428 "," R$3,522,271 ",28%," R$4,025,697 ",71%,143%,-2%,3%,-1%,0.50,30/06/2022," R$1,289,702 "," 141,762 ", Liquidez Alta 
48.00, Engie Brasil , ON , EGIE3 ," R$31,576,404 ",0.5%,0.4%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,18.00,5.6%,7.40,4.00,2.60,38.70, R$2.24 , R$2.15 ,5.8%,104%," R$7,923,410 "," R$20,624,743 "," R$4,313,392 "," R$16,311,351 ",2.60,2.53, Dívida Moderada ," R$3,104,255 "," R$3,051,863 "," R$3,499,157 "," R$4,327,283 "," R$5,158,241 "," R$6,439,626 ",16%," R$2,460,063 ",73%,167%,22%,11%,4%,0.52,30/06/2022," R$266,287 "," 32,069 ", Liquidez Alta 
49.00, Equatorial , ON , EQTL3 ," R$30,823,807 ",1.4%,1.4%, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,8.90,11.3%,8.10,2.00,1.00,28.02, R$0.64 , R$3.15 ,2.3%,20%," R$15,801,255 "," R$32,663,303 "," R$3,830,698 "," R$28,832,605 ",2.07,3.33, Dívida Alta ," R$1,132,285 "," R$1,528,872 "," R$1,796,987 "," R$2,534,552 "," R$4,944,515 "," R$6,861,437 ",43%," R$2,149,092 ",45%,73%,30%,7%,5%,0.85,30/06/2022," R$705,758 "," 74,484 ", Liquidez Alta 
50.00, Cosan , ON , CSAN3 ," R$30,664,015 ",0.9%,0.9%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,6.20,16.1%,6.90,2.00,1.00,16.41, R$0.80 , R$2.64 ,4.9%,30%," R$15,676,878 "," R$47,834,113 "," R$12,679,430 "," R$35,154,683 ",3.05,2.98, Dívida Moderada ," R$2,591,228 "," R$3,408,745 "," R$3,463,336 "," R$3,322,778 "," R$4,170,157 "," R$11,784,486 ",35%," R$6,367,248 ",143%,328%,23%,8%,5%,1.00,30/06/2022," R$1,100,759 "," 109,282 ", Liquidez Alta 
51.00, Hypera , ON , HYPE3 ," R$30,378,089 ",0.9%,0.9%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,22.30,4.5%,15.80,3.00,4.60,48.00, R$1.23 , R$2.15 ,2.6%,57%," R$10,208,018 "," R$8,039,253 "," R$1,499,105 "," R$6,540,148 ",0.79,2.80, Baixo Endividamento ," R$990,838 "," R$1,141,145 "," R$1,236,908 "," R$1,318,705 "," R$1,206,047 "," R$2,336,796 ",19%," R$1,687,813 ",126%,1448%,14%,8%,7%,0.66,30/06/2022," R$591,015 "," 65,086 ", Liquidez Alta 
52.00, Tim , ON , TIMS3 ," R$29,433,737 ",0.5%,0.4%, Crescimento e Dividendos , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,-,-,-,1.20,-,12.17, R$0.62 , - ,5.1%,-," R$25,331,474 "," R$4,720,433 "," R$1,198,582 "," R$3,521,851 ",0.19,-, Baixo Endividamento ," R$6,606,188 "," R$5,209,368 "," R$5,947,023 "," R$6,371,844 "," R$9,643,838 ", - ,-, - ,-,N/D,,,,0.68,30/06/2022," R$462,628 "," 68,477 ", Liquidez Alta 
53.00, Cemig , ON , CMIG3 ," R$28,906,791 ",-,-, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,13.00,7.7%,6.20,1.80,1.10,17.09, R$1.38 , R$1.31 ,8.1%,105%," R$20,363,513 "," R$11,184,845 "," R$1,867,781 "," R$9,317,064 ",0.55,1.29, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$5,855,723 ",3%," R$3,764,479 ",18%,60%,15%,8%,5%,1.12,30/06/2022," R$27,375 "," 6,627 ", Liquidez Alta 
54.00, Cemig , PN , CMIG4 ," R$28,906,791 ",0.7%,0.7%, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,8.50,11.8%,6.20,1.20,0.70,11.15, R$1.38 , R$1.31 ,12.4%,105%," R$20,363,513 "," R$11,184,845 "," R$1,867,781 "," R$9,317,064 ",0.55,1.29, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$5,855,723 ",3%," R$3,764,479 ",18%,60%,15%,8%,5%,1.12,30/06/2022," R$659,768 "," 88,622 ", Liquidez Alta 
55.00, Magaz Luiza , ON , MGLU3 ," R$28,838,148 ",0.6%,0.6%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,-481.20,-0.2%,36.50,2.60,0.80,4.32, R$-   ,-R$0.01 ,0.0%,0%," R$10,937,847 "," R$6,846,577 "," R$1,710,712 "," R$5,135,865 ",0.63,5.33, Baixo Endividamento ," R$464,727 "," R$714,557 "," R$1,030,753 "," R$1,245,241 "," R$1,775,538 "," R$923,805 ",15%,"-R$3,874,721 ",-44%,174%,-1%,0%,0%,1.18,30/06/2022," R$3,678,977 "," 251,409 ", Liquidez Alta 
56.00, Lojas Renner , ON , LREN3 ," R$28,540,575 ",1.3%,1.3%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,25.50,3.9%,11.90,3.00,2.30,29.47, R$0.61 , R$1.16 ,2.1%,53%," R$9,648,345 "," R$3,442,332 "," R$4,365,617 ","-R$923,285 ",0.36,-0.56, Empresa com Mais Caixa que Dívida ," R$1,198,033 "," R$1,286,951 "," R$1,416,289 "," R$1,738,395 "," R$2,373,745 "," R$2,298,480 ",14%," R$1,865,064 ",54%,102%,12%,8%,5%,1.20,30/06/2022," R$942,167 "," 111,153 ", Liquidez Alta 
57.00, Braskem , ON , BRKM3 ," R$27,276,990 ",-,-, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,4.10,24.3%,2.30,2.80,0.20,33.78, R$9.24 , R$8.22 ,27.3%,112%," R$9,469,268 "," R$34,238,355 "," R$9,527,745 "," R$24,710,610 ",3.62,1.04, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$20,115,352 ",17%," R$13,675,587 ",30%,91%,90%,19%,7%,1.14,30/06/2022," R$7,132 ", 981 , Liquidez Moderada 
