Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
Weg , ON , WEGE3 ," R$118,704,280 ",2.1%,2.0%, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Motores compressores e outros ,33.50,3.0%,25.00,8.80,4.40,28.29, R$0.47 , R$0.84 ,1.7%,56%," R$13,413,944 "," R$2,853,828 "," R$2,570,284 "," R$283,544 ",0.21,-0.05, Baixo Endividamento ," R$1,477,603 "," R$1,406,931 "," R$1,466,287 "," R$1,824,054 "," R$2,244,517 "," R$4,758,552 ",26%," R$472,745 ",203%,178%,29%,18%,14%,0.58,30/06/2022," R$1,173,774 "," 88,976 ", Liquidez Alta 
Santander BR , ON , SANB3 ," R$109,803,244 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,6.60,15.2%,-,1.30,-,14.10, R$1.23 , R$2.14 ,8.7%,58%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,1.14,30/06/2022," R$11,733 "," 6,393 ", Liquidez Alta 
Santander BR , PN , SANB4 ," R$109,803,244 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.20,13.9%,-,1.40,-,15.43, R$1.36 , R$2.14 ,8.8%,63%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,0.96,30/06/2022," R$13,223 "," 5,466 ", Liquidez Alta 
Santander BR , UNT , SANB11 ," R$109,803,244 ",0.6%,0.5%, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,6.90,14.6%,-,1.40,-,29.37, R$1.29 , R$2.14 ,8.8%,60%," R$80,335,226 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,574,480 ",-,N/D,20%,,2%,1.08,30/06/2022," R$342,357 "," 42,166 ", Liquidez Alta 
Eletrobras , ON , ELET3 ," R$106,610,696 ",2.3%,2.1%," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,13.10,7.6%,7.90,0.90,1.90,46.11, R$0.74 , R$3.51 ,1.6%,21%," R$106,712,385 "," R$36,079,423 "," R$5,298,070 "," R$30,781,353 ",0.34,1.13, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,730,490 ",-208%," R$9,384,601 ",331%,927%,8%,4%,2%,0.83,30/06/2022," R$1,640,106 "," 137,187 ", Liquidez Alta 
Eletrobras , PNB , ELET6 ," R$106,610,696 ",0.6%,0.6%," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,13.70,7.3%,7.90,1.00,2.00,47.90, R$1.54 , R$3.51 ,3.2%,44%," R$106,712,385 "," R$36,079,423 "," R$5,298,070 "," R$30,781,353 ",0.34,1.13, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,730,490 ",-208%," R$9,384,601 ",331%,927%,8%,4%,2%,0.75,30/06/2022," R$654,305 "," 60,893 ", Liquidez Alta 
Itausa , ON , ITSA3 ," R$81,304,263 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.20,16.1%,6.20,1.20,9.40,9.35, R$0.54 , R$1.50 ,5.8%,36%," R$67,498,000 "," R$10,154,000 "," R$3,165,000 "," R$6,989,000 ",0.15,0.35, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$14,578,000 ",8%," R$483,000 ",408%,254%,22%,11%,16%,0.74,30/06/2022," R$6,077 "," 1,556 ", Liquidez Moderada 
Itausa , PN , ITSA4 ," R$81,304,263 ",2.2%,2.1%," Alerta, Baixo Crescimento ", Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.10,16.4%,6.20,1.20,9.20,9.15, R$0.54 , R$1.50 ,5.9%,36%," R$67,498,000 "," R$10,154,000 "," R$3,165,000 "," R$6,989,000 ",0.15,0.35, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$14,578,000 ",8%," R$483,000 ",408%,254%,22%,11%,16%,0.95,30/06/2022," R$914,635 "," 96,311 ", Liquidez Alta 
B3 , ON , B3SA3 ," R$70,045,270 ",3.7%,3.4%, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,16.10,6.2%,9.90,3.40,7.60,11.85, R$0.71 , R$0.74 ,6.0%,96%," R$20,653,221 "," R$12,697,474 "," R$2,371,543 "," R$10,325,931 ",0.61,-0.36, Baixo Endividamento ," R$2,409,283 "," R$1,192,907 "," R$2,199,762 "," R$3,345,196 "," R$4,262,391 "," R$6,814,938 ",23%," R$7,708,662 ",28%,204%,20%,15%,9%,0.95,30/06/2022," R$1,672,677 "," 144,307 ", Liquidez Alta 
Telef Brasil , ON , VIVT3 ," R$68,730,626 ",0.9%,0.9%, Dividendos , Tradicional , Comunicações , Telecomunicações , Telecomunicações ,12.60,7.9%,4.30,1.00,1.50,41.14, R$3.58 , R$3.26 ,8.7%,110%," R$68,030,041 "," R$16,382,604 "," R$3,131,411 "," R$13,251,193 ",0.24,0.70, Baixo Endividamento ," R$12,056,585 "," R$14,023,669 "," R$14,487,551 "," R$17,818,960 "," R$18,134,468 "," R$18,959,016 ",9%," R$18,568,233 ",70%,105%,8%,5%,5%,0.08,30/06/2022," R$609,715 "," 48,961 ", Liquidez Alta 
Rede D Or , ON , RDOR3 ," R$65,794,520 ",1.3%,1.4%, Crescimento e Dividendos , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,49.00,2.0%,16.20,4.90,3.00,33.33, R$1.38 , R$0.68 ,4.2%,204%," R$13,542,853 "," R$29,689,025 "," R$225,512 "," R$29,463,513 ",2.19,3.06, Dívida Alta , - , - , - ," R$2,670,251 "," R$3,484,649 "," R$5,096,684 ",-," R$818,318 ",206%,122%,9%,7%,3%,-,30/06/2022," R$736,215 "," 70,834 ", Liquidez Alta 
JBS , ON , JBSS3 ," R$65,634,063 ",2.0%,1.8%, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,3.00,33.1%,3.30,1.50,0.20,29.59, R$2.00 , R$9.81 ,6.8%,20%," R$42,915,885 "," R$97,415,531 "," R$19,330,433 "," R$78,085,098 ",2.27,1.72, Dívida Moderada ," R$12,872,127 "," R$11,248,284 "," R$11,218,751 "," R$11,988,839 "," R$19,795,941 "," R$44,941,685 ",28%," R$20,455,178 ",91%,194%,53%,17%,12%,0.31,30/06/2022," R$1,174,051 "," 118,172 ", Liquidez Alta 
Localiza , ON , RENT3 ," R$59,300,311 ",2.3%,2.2%, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,21.90,4.6%,15.60,5.50,4.10,60.82, R$0.83 , R$2.78 ,1.4%,30%," R$8,381,748 "," R$15,717,005 "," R$767,274 "," R$14,949,731 ",1.88,2.10, Dívida Moderada ," R$934,869 "," R$1,015,662 "," R$1,240,200 "," R$1,590,142 "," R$2,212,756 "," R$4,378,276 ",36%,"-R$3,283,994 ",-5%,25%,30%,12%,7%,1.40,30/06/2022," R$2,123,647 "," 111,118 ", Liquidez Alta 
Suzano S.A. , ON , SUZB3 ," R$59,173,270 ",1.7%,1.5%, Crescimento , Novo Mercado , Materiais básicos , Madeira e papel , Papel e celulose ,5.00,19.8%,4.70,2.50,1.40,44.26, R$1.33 , R$8.77 ,3.0%,15%," R$24,062,007 "," R$75,205,937 "," R$7,712,081 "," R$67,493,856 ",3.13,2.25, Dívida Moderada ," R$4,489,461 "," R$2,720,611 "," R$4,660,683 "," R$6,568,982 "," R$10,681,570 "," R$24,516,458 ",40%," R$19,688,321 ",56%,154%,81%,12%,10%,0.29,30/06/2022," R$1,773,372 "," 149,606 ", Liquidez Alta 
BBSeguridade , ON , BBSE3 ," R$56,467,424 ",1.0%,0.9%, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,11.80,8.5%,-,7.30,-,28.28, R$1.96 , R$2.40 ,6.9%,82%," R$7,770,271 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$2,814,994 ",-,N/D,69%,,35%,0.64,30/06/2022," R$586,482 "," 65,370 ", Liquidez Alta 
Hapvida , ON , HAPV3 ," R$51,754,535 ",1.7%,1.6%," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-148.30,-0.7%,42.20,1.10,2.30,7.28, R$0.02 ,-R$0.05 ,0.2%,-35%," R$48,905,416 "," R$11,501,228 "," R$593,358 "," R$10,907,870 ",0.24,5.26, Baixo Endividamento ," R$348,339 "," R$490,571 "," R$824,440 "," R$912,973 "," R$1,233,320 "," R$1,401,771 ",32%," R$704,469 ",109%,57%,-2%,0%,0%,1.03,30/06/2022," R$2,725,483 "," 258,917 ", Liquidez Alta 
Raizen , PN , RAIZ4 ," R$49,912,546 ",-,0.3%, Crescimento , Nível 2 , Consumo não cíclico , Agropecuária , Agricultura ,17.10,5.9%,5.80,2.20,0.20,4.84, R$0.07 , R$0.28 ,1.4%,23%," R$22,305,502 "," R$40,442,938 "," R$5,733,097 "," R$34,709,841 ",1.81,2.36, Dívida Moderada , - , - , - , - , - ," R$14,709,458 ",-," R$8,167,628 ",161%,155%,29%,6%,3%,-,30/06/2022," R$171,106 "," 33,817 ", Liquidez Alta 
Carrefour BR , ON , CRFB3 ," R$41,535,178 ",0.4%,0.4%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,14.90,6.7%,9.00,2.10,0.50,19.75, R$0.58 , R$1.32 ,2.9%,44%," R$19,936,000 "," R$17,790,000 "," R$3,657,000 "," R$14,133,000 ",0.89,2.20, Baixo Endividamento ," R$2,819,000 "," R$3,244,000 "," R$3,785,000 "," R$3,891,000 "," R$3,852,000 "," R$6,293,000 ",17%," R$6,047,000 ",113%,506%,16%,7%,4%,0.42,30/06/2022," R$379,805 "," 64,169 ", Liquidez Alta 
CPFL Energia , ON , CPFE3 ," R$40,294,338 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,8.00,12.5%,5.70,2.90,1.00,34.97, R$5.44 , R$4.38 ,15.6%,124%," R$14,006,786 "," R$24,408,930 "," R$3,611,251 "," R$20,797,679 ",1.74,1.91, Dívida Moderada ," R$3,748,876 "," R$4,125,186 "," R$4,863,276 "," R$5,636,728 "," R$6,393,593 "," R$10,630,784 ",23%," R$6,434,192 ",65%,227%,34%,11%,8%,0.68,30/06/2022," R$446,818 "," 43,467 ", Liquidez Alta 
Gerdau , ON , GGBR3 ," R$37,433,553 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.10,48.6%,1.70,0.70,0.40,19.70, R$3.48 , R$9.57 ,17.7%,36%," R$47,333,225 "," R$12,444,766 "," R$5,776,753 "," R$6,668,013 ",0.26,0.18, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,445,855 ",-311%," R$16,575,496 ",21%,128%,45%,26%,21%,1.17,30/06/2022," R$3,330 ", 977 , Liquidez Moderada 
Gerdau , PN , GGBR4 ," R$37,433,553 ",1.3%,1.2%," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.40,41.1%,1.70,0.80,0.50,23.32, R$3.48 , R$9.57 ,14.9%,36%," R$47,333,225 "," R$12,444,766 "," R$5,776,753 "," R$6,668,013 ",0.26,0.18, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,445,855 ",-311%," R$16,575,496 ",21%,128%,45%,26%,21%,1.26,30/06/2022," R$1,119,011 "," 106,533 ", Liquidez Alta 
Rumo S.A. , ON , RAIL3 ," R$37,428,232 ",1.2%,1.2%," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Transporte , Transporte ferroviário ,-102.10,-1.0%,13.70,2.50,4.60,20.21, R$0.02 ,-R$0.20 ,0.1%,-10%," R$14,745,863 "," R$16,794,815 "," R$6,234,779 "," R$10,560,036 ",1.14,3.00, Baixo Endividamento ," R$1,037,679 "," R$1,579,047 "," R$2,757,026 "," R$3,242,049 "," R$3,829,428 "," R$3,522,271 ",28%," R$4,025,697 ",71%,143%,-2%,3%,-1%,0.49,30/06/2022," R$1,081,900 "," 103,346 ", Liquidez Alta 
Cosan , ON , CSAN3 ," R$37,334,979 ",1.2%,1.1%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,7.60,13.2%,7.40,2.40,1.20,19.98, R$0.80 , R$2.64 ,4.0%,30%," R$15,676,878 "," R$47,834,113 "," R$12,679,430 "," R$35,154,683 ",3.05,2.98, Dívida Moderada ," R$2,591,228 "," R$3,408,745 "," R$3,463,336 "," R$3,322,778 "," R$4,170,157 "," R$11,784,486 ",35%," R$6,367,248 ",143%,328%,23%,8%,5%,1.03,30/06/2022," R$579,522 "," 79,936 ", Liquidez Alta 
RaiaDrogasil , ON , RADL3 ," R$35,854,984 ",1.2%,1.1%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,43.70,2.3%,12.60,7.20,1.40,21.76, R$0.25 , R$0.50 ,1.2%,50%," R$5,014,184 "," R$2,369,579 "," R$818,806 "," R$1,550,773 ",0.47,0.52, Baixo Endividamento ," R$728,561 "," R$979,972 "," R$1,130,686 "," R$1,137,269 "," R$2,162,219 "," R$2,973,393 ",32%," R$1,798,275 ",52%,65%,18%,10%,5%,0.51,30/06/2022," R$538,612 "," 55,657 ", Liquidez Alta 
Sabesp , ON , SBSP3 ," R$33,594,510 ",0.8%,0.8%," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,13.80,7.2%,7.50,1.30,1.70,49.15, R$0.94 , R$3.56 ,1.9%,27%," R$26,274,226 "," R$17,726,604 "," R$643,569 "," R$17,083,035 ",0.67,2.33, Baixo Endividamento ," R$4,118,023 "," R$4,576,233 "," R$5,263,565 "," R$6,569,196 "," R$7,491,717 "," R$6,487,693 ",10%," R$3,704,594 ",102%,161%,10%,6%,5%,0.96,30/06/2022," R$879,366 "," 71,557 ", Liquidez Alta 
Engie Brasil , ON , EGIE3 ," R$33,045,073 ",0.5%,0.5%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,18.80,5.3%,7.70,4.20,2.70,40.50, R$2.24 , R$2.15 ,5.5%,104%," R$7,923,410 "," R$20,624,743 "," R$4,313,392 "," R$16,311,351 ",2.60,2.53, Dívida Moderada ," R$3,104,255 "," R$3,051,863 "," R$3,499,157 "," R$4,327,283 "," R$5,158,241 "," R$6,439,626 ",16%," R$2,460,063 ",73%,167%,22%,11%,4%,0.53,30/06/2022," R$313,589 "," 29,062 ", Liquidez Alta 
Cemig , ON , CMIG3 ," R$31,218,044 ",-,-, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,14.00,7.2%,6.60,2.00,1.10,18.34, R$1.17 , R$1.31 ,6.4%,89%," R$20,363,513 "," R$11,184,845 "," R$1,867,781 "," R$9,317,064 ",0.55,1.29, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$5,855,723 ",3%," R$3,764,479 ",18%,60%,15%,8%,5%,1.10,30/06/2022," R$25,930 "," 6,748 ", Liquidez Alta 
Cemig , PN , CMIG4 ," R$31,218,044 ",0.9%,0.8%, Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,9.20,10.8%,6.60,1.30,0.80,12.10, R$1.17 , R$1.31 ,9.6%,89%," R$20,363,513 "," R$11,184,845 "," R$1,867,781 "," R$9,317,064 ",0.55,1.29, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$5,855,723 ",3%," R$3,764,479 ",18%,60%,15%,8%,5%,1.11,30/06/2022," R$628,245 "," 81,222 ", Liquidez Alta 
Tim , ON , TIMS3 ," R$28,611,430 ",0.5%,0.5%, Crescimento e Dividendos , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,-,-,-,1.10,-,11.83, R$0.48 , - ,4.1%,-," R$25,331,474 "," R$4,720,433 "," R$1,198,582 "," R$3,521,851 ",0.19,-, Baixo Endividamento ," R$6,606,188 "," R$5,209,368 "," R$5,947,023 "," R$6,371,844 "," R$9,643,838 ", - ,-, - ,-,N/D,,,,0.67,30/06/2022," R$389,477 "," 61,091 ", Liquidez Alta 
Magaz Luiza , ON , MGLU3 ," R$28,504,373 ",0.7%,0.6%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,-475.60,-0.2%,36.20,2.60,0.80,4.27, R$-   ,-R$0.01 ,0.0%,0%," R$10,937,847 "," R$6,846,577 "," R$1,710,712 "," R$5,135,865 ",0.63,5.33, Baixo Endividamento ," R$464,727 "," R$714,557 "," R$1,030,753 "," R$1,245,241 "," R$1,775,538 "," R$923,805 ",15%,"-R$3,874,721 ",-44%,174%,-1%,0%,0%,1.21,30/06/2022," R$3,812,334 "," 241,210 ", Liquidez Alta 
CCR SA , ON , CCRO3 ," R$27,855,772 ",0.8%,0.7%, Crescimento , Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,7.30,13.6%,4.30,2.40,1.60,13.79, R$0.16 , R$1.88 ,1.2%,9%," R$11,692,256 "," R$27,546,064 "," R$3,861,432 "," R$23,684,632 ",2.36,1.83, Dívida Moderada ," R$3,551,992 "," R$5,261,860 "," R$5,052,348 "," R$3,817,776 "," R$5,489,434 "," R$11,497,540 ",26%," R$5,141,522 ",169%,397%,44%,16%,8%,0.97,30/06/2022," R$422,122 "," 62,255 ", Liquidez Alta 
Caixa Seguri , ON , CXSE3 ," R$27,330,000 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,12.00,8.3%,10.20,2.50,-,9.11, R$0.54 , R$0.76 ,5.9%,71%," R$10,914,051 ", R$-   , R$655 ,-R$655 ,0.00,-0.24, Empresa com Mais Caixa que Dívida , - ," R$1,209,440 ", - , - , - ," R$2,612,227 ",-," R$1,824,195 ",0%,0%,22%,17%,21%,-,30/06/2022," R$89,685 "," 16,079 ", Liquidez Alta 
Hypera , ON , HYPE3 ," R$27,258,006 ",0.9%,0.9%, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,20.00,5.0%,14.50,2.70,4.10,43.07, R$1.23 , R$2.15 ,2.9%,57%," R$10,208,018 "," R$8,039,253 "," R$1,499,105 "," R$6,540,148 ",0.79,2.80, Baixo Endividamento ," R$990,838 "," R$1,141,145 "," R$1,236,908 "," R$1,318,705 "," R$1,206,047 "," R$2,336,796 ",19%," R$1,687,813 ",126%,1448%,14%,8%,7%,0.65,30/06/2022," R$477,891 "," 50,221 ", Liquidez Alta 
