 Dados Cadastrais ,,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
 Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação de Mercado , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,EBITDA_2015,EBITDA_2016,EBITDA_2017,EBITDA_2018,EBITDA_2019,EBITDA_2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
 Btgp Banco , UNT , BPAC11 ," R$124,422,175 ",1.5%,1.4%,Mega Cap, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,11.90,8.4%,-,2.30,-,23.66, R$0.13 , R$0.66 ,1.6%,19%," R$39,299,530 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$754,116 ",-,N/D,24%,,2%,1.77,31/03/2022," R$1,826,481 "," 196,032 ", Liquidez Alta 
 Santander BR , ON , SANB3 ," R$122,328,239 ",-,-,Mega Cap, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.20,13.9%,-,1.50,-,15.57, R$1.45 , R$2.16 ,9.3%,67%," R$79,186,532 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$23,682,699 ",-,N/D,21%,,2%,1.13,31/03/2022," R$3,455 "," 1,654 ", Liquidez Moderada 
 Santander BR , PN , SANB4 ," R$122,328,239 ",-,-,Mega Cap, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,8.00,12.5%,-,1.60,-,17.26, R$1.59 , R$2.16 ,9.2%,74%," R$79,186,532 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$23,682,699 ",-,N/D,21%,,2%,0.95,31/03/2022," R$5,073 "," 1,998 ", Liquidez Moderada 
 Santander BR , UNT , SANB11 ," R$122,328,239 ",0.6%,0.6%,Mega Cap, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,7.60,13.2%,-,1.50,-,32.75, R$1.52 , R$2.16 ,9.3%,71%," R$79,186,532 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$23,682,699 ",-,N/D,21%,,2%,1.07,31/03/2022," R$372,305 "," 51,043 ", Liquidez Alta 
 Weg , ON , WEGE3 ," R$110,817,422 ",2.0%,1.9%,Mega Cap, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Motores compressores e outros ,29.40,3.4%,22.70,8.90,4.40,26.41, R$0.47 , R$0.90 ,1.8%,53%," R$12,417,577 "," R$3,078,716 "," R$2,749,862 "," R$328,854 ",0.25,-0.04, Baixo Endividamento ," R$1,477,603 "," R$1,406,931 "," R$1,466,287 "," R$1,824,054 "," R$2,244,517 "," R$4,894,607 ",27%," R$397,991 ",223%,167%,31%,21%,16%,0.69,31/03/2022," R$1,293,684 "," 145,521 ", Liquidez Alta 
 Brasil , ON , BBAS3 ," R$100,332,106 ",2.5%,2.3%,Mega Cap, Crescimento , Novo Mercado , Financeiro , Intermediários financeiros , Bancos ,4.50,22.1%,-,0.70,-,35.16, R$2.72 , R$7.76 ,7.7%,35%," R$149,773,990 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$70,973,826 ",-,N/D,17%,,1%,1.16,31/03/2022," R$2,438,904 "," 176,507 ", Liquidez Alta 
 Telef Brasil , ON , VIVT3 ," R$83,628,475 ",1.0%,1.0%,Mega Cap, Dividendos , Tradicional , Comunicações , Telecomunicações , Telecomunicações ,13.90,7.2%,4.80,1.20,1.90,49.94, R$3.66 , R$3.60 ,7.3%,102%," R$70,102,868 "," R$15,587,495 "," R$6,430,521 "," R$9,156,974 ",0.22,0.48, Baixo Endividamento ," R$12,056,585 "," R$14,023,669 "," R$14,487,551 "," R$17,818,960 "," R$18,134,468 "," R$19,175,018 ",10%," R$17,954,395 ",45%,66%,9%,5%,5%,0.08,31/03/2022," R$476,726 "," 50,210 ", Liquidez Alta 
 JBS , ON , JBSS3 ," R$82,025,060 ",2.4%,2.2%,Mega Cap, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,3.80,26.6%,3.40,1.90,0.20,36.54, R$2.00 , R$9.72 ,5.5%,21%," R$43,186,091 "," R$83,770,247 "," R$17,281,756 "," R$66,488,491 ",1.94,1.47, Dívida Moderada ," R$12,872,127 "," R$11,248,284 "," R$11,218,751 "," R$11,988,839 "," R$19,795,941 "," R$44,420,115 ",28%," R$22,610,322 ",88%,213%,54%,18%,13%,0.29,31/03/2022," R$1,630,808 "," 131,195 ", Liquidez Alta 
 Itausa , ON , ITSA3 ," R$80,876,624 ",-,-,Mega Cap," Alerta, Baixo Crescimento ", Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.80,14.7%,6.40,1.30,10.10,9.37, R$0.53 , R$1.38 ,5.7%,38%," R$65,886,000 "," R$8,884,000 "," R$3,876,000 "," R$5,008,000 ",0.13,0.25, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$13,819,000 ",7%," R$1,380,000 ",172%,329%,22%,11%,16%,0.73,31/12/2021," R$3,875 "," 1,545 ", Liquidez Moderada 
 Itausa , PN , ITSA4 ," R$80,876,624 ",2.2%,2.0%,Mega Cap," Alerta, Baixo Crescimento ", Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.60,15.3%,6.40,1.20,9.80,9.06, R$0.53 , R$1.38 ,5.9%,38%," R$65,886,000 "," R$8,884,000 "," R$3,876,000 "," R$5,008,000 ",0.13,0.25, Baixo Endividamento ," R$9,699,000 "," R$8,874,000 "," R$9,182,000 "," R$10,752,000 "," R$11,720,000 "," R$13,819,000 ",7%," R$1,380,000 ",172%,329%,22%,11%,16%,0.94,31/12/2021," R$1,490,723 "," 126,927 ", Liquidez Alta 
 B3 , ON , B3SA3 ," R$71,487,934 ",3.5%,3.2%,Mega Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,15.90,6.3%,-,3.30,7.50,11.90, R$0.79 , R$0.75 ,6.6%,105%," R$21,807,206 "," R$13,476,384 "," R$2,711,499 "," R$10,764,885 ",0.62,-, Baixo Endividamento ," R$2,409,283 "," R$1,192,907 "," R$2,199,762 "," R$3,345,196 "," R$4,262,391 ", - ,-," R$3,160,614 ",-,N/D,19%,17%,9%,0.95,31/03/2022," R$2,117,459 "," 295,876 ", Liquidez Alta 
 Suzano S.A. , ON , SUZB3 ," R$65,780,911 ",1.8%,1.7%,Mega Cap," Alerta, Baixo Crescimento ", Novo Mercado , Materiais básicos , Madeira e papel , Papel e celulose ,3.00,33.0%,4.60,2.60,1.60,48.75, R$1.33 , R$16.07 ,2.7%,8%," R$25,282,246 "," R$68,765,924 "," R$9,797,437 "," R$58,968,487 ",2.72,2.00, Dívida Moderada ," R$4,489,461 "," R$2,720,611 "," R$4,660,683 "," R$6,568,982 "," R$10,681,570 "," R$24,980,976 ",41%," R$19,179,775 ",40%,111%,475%,13%,19%,0.29,31/03/2022," R$1,308,522 "," 96,554 ", Liquidez Alta 
 Rede D Or , ON , RDOR3 ," R$63,959,127 ",1.3%,1.4%,Mega Cap, Crescimento e Dividendos , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,45.00,2.2%,16.30,4.70,3.00,32.40, R$1.35 , R$0.72 ,4.2%,188%," R$13,585,304 "," R$25,765,506 "," R$252,060 "," R$25,513,446 ",1.90,3.03, Dívida Alta , - , - , - ," R$2,670,251 "," R$3,484,649 "," R$4,903,537 ",-,"-R$257,357 ",-,N/D,11%,7%,3%,-,31/03/2022," R$694,129 "," 93,589 ", Liquidez Alta 
 Eletrobras , ON , ELET3 ," R$62,859,900 ",0.7%,0.7%,Mega Cap," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,11.20,9.0%,5.70,0.80,1.70,40.16, R$0.74 , R$3.60 ,1.8%,21%," R$76,121,204 "," R$44,919,129 "," R$2,737,253 "," R$42,181,876 ",0.59,1.69, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,697,371 ",-208%," R$8,230,605 ",36%,112%,8%,6%,3%,0.98,31/12/2021," R$795,822 "," 101,805 ", Liquidez Alta 
 Eletrobras , PNB , ELET6 ," R$62,859,900 ",0.5%,0.5%,Mega Cap," Alerta, Baixo Crescimento ", Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,11.00,9.1%,5.70,0.80,1.70,39.63, R$1.54 , R$3.60 ,3.9%,43%," R$76,121,204 "," R$44,919,129 "," R$2,737,253 "," R$42,181,876 ",0.59,1.69, Baixo Endividamento ,"-R$10,701,921 "," R$19,797,191 "," R$6,744,201 "," R$19,990,400 "," R$9,805,094 "," R$15,697,371 ",-208%," R$8,230,605 ",36%,112%,8%,6%,3%,0.85,31/12/2021," R$503,370 "," 67,472 ", Liquidez Alta 
 Raizen , PN , RAIZ4 ," R$55,696,501 ",-,0.3%,Large Cap, Crescimento e Dividendos , Nível 2 , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,10.60,9.5%,7.70,2.70,0.20,5.38, - , R$0.51 ,N/D,-," R$20,468,798 "," R$37,652,628 "," R$5,034,787 "," R$32,617,841 ",1.84,2.84, Dívida Moderada , - , - , - , - , - ," R$11,501,453 ",-," R$4,777,443 ",168%,154%,74%,7%,3%,-,31/12/2021," R$402,080 "," 105,619 ", Liquidez Alta 
 Hapvida , ON , HAPV3 ," R$54,960,203 ",1.7%,1.6%,Large Cap, Crescimento , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,59.50,1.7%,40.70,2.80,3.00,7.72, R$0.03 , R$0.13 ,0.5%,27%," R$10,572,141 "," R$5,595,931 "," R$347,256 "," R$5,248,675 ",0.53,2.45, Baixo Endividamento ," R$348,339 "," R$490,571 "," R$824,440 "," R$912,973 "," R$1,233,320 "," R$1,438,355 ",33%," R$212,410 ",328%,78%,6%,2%,2%,0.99,31/12/2021," R$1,786,333 "," 322,623 ", Liquidez Alta 
 BBSeguridade , ON , BBSE3 ," R$50,695,871 ",0.9%,0.8%,Large Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,12.30,8.2%,-,6.00,-,25.39, R$1.45 , R$2.07 ,5.7%,70%," R$8,445,015 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$2,657,488 ",-,N/D,58%,,34%,0.66,31/03/2022," R$511,006 "," 71,723 ", Liquidez Alta 
 Gerdau , ON , GGBR3 ," R$43,551,761 ",-,-,Small Cap," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.30,43.0%,1.90,0.90,0.50,21.75, R$3.14 , R$9.36 ,14.4%,34%," R$42,328,364 "," R$12,767,607 "," R$4,895,161 "," R$7,872,446 ",0.30,0.21, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,147,203 ",-311%," R$13,268,416 ",24%,118%,46%,29%,22%,1.12,31/03/2022," R$6,830 "," 1,819 ", Liquidez Moderada 
 Gerdau , PN , GGBR4 ," R$43,551,761 ",1.5%,1.4%,Small Cap," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.90,34.2%,1.90,1.10,0.60,27.39, R$3.14 , R$9.36 ,11.5%,34%," R$42,328,364 "," R$12,767,607 "," R$4,895,161 "," R$7,872,446 ",0.30,0.21, Baixo Endividamento ,"-R$607,603 "," R$899,595 "," R$3,192,623 "," R$5,939,040 "," R$5,258,229 "," R$25,147,203 ",-311%," R$13,268,416 ",24%,118%,46%,29%,22%,1.22,31/03/2022," R$2,136,068 "," 185,166 ", Liquidez Alta 
 Localiza , ON , RENT3 ," R$41,603,905 ",1.7%,1.5%,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,20.00,5.0%,12.30,5.20,3.80,55.31, R$0.76 , R$2.76 ,1.4%,27%," R$8,036,633 "," R$13,893,816 "," R$759,044 "," R$13,134,772 ",1.73,2.02, Dívida Moderada ," R$934,869 "," R$1,015,662 "," R$1,240,200 "," R$1,590,142 "," R$2,212,756 "," R$4,030,710 ",34%,"-R$4,196,596 ",-4%,26%,32%,12%,8%,1.43,31/03/2022," R$2,172,831 "," 150,186 ", Liquidez Alta 
 CPFL Energia , ON , CPFE3 ," R$39,084,471 ",0.3%,0.3%,Small Cap, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,8.00,12.5%,6.00,2.40,1.00,33.92, R$5.44 , R$4.26 ,16.0%,128%," R$16,244,670 "," R$22,471,709 "," R$3,496,671 "," R$18,975,038 ",1.38,1.87, Baixo Endividamento ," R$3,748,876 "," R$4,125,186 "," R$4,863,276 "," R$5,636,728 "," R$6,393,593 "," R$9,836,612 ",21%," R$4,820,465 ",-,N/D,33%,10%,8%,0.66,31/03/2022," R$413,206 "," 57,700 ", Liquidez Alta 
 Carrefour BR , ON , CRFB3 ," R$38,769,932 ",0.4%,0.4%,Small Cap, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,15.00,6.7%,8.10,2.20,0.50,19.52, R$0.54 , R$1.31 ,2.8%,42%," R$17,440,000 "," R$11,694,000 "," R$3,608,000 "," R$8,086,000 ",0.67,1.35, Baixo Endividamento ," R$2,819,000 "," R$3,244,000 "," R$3,785,000 "," R$3,891,000 "," R$3,852,000 "," R$5,916,000 ",16%," R$4,897,000 ",53%,207%,16%,9%,5%,0.36,31/03/2022," R$416,315 "," 77,263 ", Liquidez Alta 
 Cosan , ON , CSAN3 ," R$34,663,089 ",1.1%,1.0%,Small Cap, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,5.50,18.2%,7.50,2.40,1.30,18.55, R$0.80 , R$3.38 ,4.3%,24%," R$14,740,937 "," R$48,926,715 "," R$16,174,130 "," R$32,752,585 ",3.32,3.01, Dívida Alta ," R$2,591,228 "," R$3,408,745 "," R$3,463,336 "," R$3,322,778 "," R$4,170,157 "," R$10,897,844 ",33%," R$5,221,982 ",97%,229%,55%,8%,7%,1.01,31/12/2021," R$1,131,160 "," 180,851 ", Liquidez Alta 
 Engie Brasil , ON , EGIE3 ," R$34,097,620 ",0.5%,0.5%,Small Cap, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,20.30,4.9%,8.20,4.10,2.80,41.79, R$2.50 , R$2.06 ,6.0%,121%," R$8,359,300 "," R$20,592,690 "," R$4,587,654 "," R$16,005,036 ",2.46,2.63, Dívida Moderada ," R$3,104,255 "," R$3,051,863 "," R$3,499,157 "," R$4,327,283 "," R$5,158,241 "," R$6,092,995 ",14%," R$2,225,638 ",77%,161%,21%,10%,4%,0.53,31/03/2022," R$305,830 "," 40,644 ", Liquidez Alta 
 Tim , ON , TIMS3 ," R$32,021,973 ",0.5%,0.5%,Small Cap, Crescimento , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,-,-,-,1.30,-,13.23, R$0.51 , R$1.27 ,3.9%,40%," R$25,337,958 "," R$3,338,893 "," R$4,002,880 ","-R$663,987 ",0.13,-0.50, Empresa com Mais Caixa que Dívida ," R$6,606,188 "," R$5,209,368 "," R$5,947,023 "," R$6,371,844 "," R$9,643,838 "," R$9,521,648 ",8%," R$9,248,046 ",45%,74%,13%,8%,6%,0.69,31/03/2022," R$405,624 "," 70,543 ", Liquidez Alta 
 Braskem , ON , BRKM3 ," R$31,895,110 ",-,-,Small Cap, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,2.10,48.4%,1.80,2.70,0.30,39.90, R$9.24 , R$19.31 ,23.2%,48%," R$11,598,669 "," R$31,039,044 "," R$10,114,756 "," R$20,924,288 ",2.68,0.69, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$27,330,706 ",24%," R$14,191,897 ",25%,85%,-1040%,29%,18%,1.13,31/03/2022," R$2,190 ", 315 , Liquidez Moderada 
 Braskem , PNA , BRKM5 ," R$31,895,110 ",0.6%,0.5%,Small Cap, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,2.10,47.9%,1.80,2.80,0.30,40.28, R$9.24 , R$19.31 ,22.9%,48%," R$11,598,669 "," R$31,039,044 "," R$10,114,756 "," R$20,924,288 ",2.68,0.69, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$27,330,706 ",24%," R$14,191,897 ",25%,85%,-1040%,29%,18%,0.87,31/03/2022," R$557,687 "," 61,444 ", Liquidez Alta 
 RaiaDrogasil , ON , RADL3 ," R$30,977,652 ",1.0%,0.9%,Small Cap, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,43.20,2.3%,12.10,6.50,1.20,18.80, R$0.24 , R$0.44 ,1.3%,54%," R$4,751,380 "," R$2,169,069 "," R$466,154 "," R$1,702,915 ",0.46,0.63, Baixo Endividamento ," R$728,561 "," R$979,972 "," R$1,130,686 "," R$1,137,269 "," R$2,162,219 "," R$2,708,641 ",30%," R$1,225,343 ",74%,66%,16%,9%,5%,0.51,31/03/2022," R$803,113 "," 118,193 ", Liquidez Alta 
 Sabesp , ON , SBSP3 ," R$30,798,955 ",0.8%,0.7%,Small Cap," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,11.10,9.0%,7.00,1.20,1.60,45.06, R$0.94 , R$4.07 ,2.1%,23%," R$25,907,398 "," R$17,628,090 "," R$491,492 "," R$17,136,598 ",0.68,2.21, Baixo Endividamento ," R$4,118,023 "," R$4,576,233 "," R$5,263,565 "," R$6,569,196 "," R$7,491,717 "," R$6,427,688 ",9%," R$3,486,083 ",108%,163%,12%,6%,5%,0.97,31/03/2022," R$788,612 "," 75,479 ", Liquidez Alta 
 Rumo S.A. , ON , RAIL3 ," R$28,277,534 ",1.0%,0.9%,Small Cap," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Transporte , Transporte ferroviário ,-320.30,-0.3%,11.10,1.90,3.60,15.27, R$0.02 ,-R$0.05 ,0.1%,-41%," R$14,706,055 "," R$17,048,631 "," R$6,377,309 "," R$10,671,322 ",1.16,3.03, Baixo Endividamento ," R$1,037,679 "," R$1,579,047 "," R$2,757,026 "," R$3,242,049 "," R$3,829,428 "," R$3,520,255 ",28%," R$3,932,283 ",82%,167%,-1%,3%,0%,0.43,31/03/2022," R$849,638 "," 87,259 ", Liquidez Alta 
 Magaz Luiza , ON , MGLU3 ," R$27,861,867 ",0.6%,0.5%,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,46.40,2.2%,23.70,2.50,0.80,4.18, R$0.02 , R$0.09 ,0.4%,17%," R$11,261,231 "," R$6,792,872 "," R$2,566,218 "," R$4,226,654 ",0.60,2.07, Baixo Endividamento ," R$464,727 "," R$714,557 "," R$1,030,753 "," R$1,245,241 "," R$1,775,538 "," R$1,287,566 ",23%,"-R$4,364,476 ",-30%,161%,8%,2%,2%,1.00,31/12/2021," R$3,188,012 "," 281,419 ", Liquidez Alta 
 Equatorial , ON , EQTL3 ," R$26,203,536 ",1.3%,1.2%,Small Cap, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,6.40,15.7%,7.30,1.80,1.00,23.82, R$0.64 , R$3.74 ,2.7%,17%," R$12,756,361 "," R$25,402,935 "," R$2,996,589 "," R$22,406,346 ",1.99,2.53, Dívida Moderada ," R$1,132,285 "," R$1,528,872 "," R$1,796,987 "," R$2,534,552 "," R$4,944,515 "," R$5,942,004 ",39%," R$1,304,261 ",79%,107%,35%,8%,7%,0.91,31/12/2021," R$1,074,927 "," 104,882 ", Liquidez Alta 
